MP db name,Nature of membership,Start of term,End of term,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average,Notes (State's Averages)
Praful Manoharbhai Patel,Elected,18-May-09,In office,Maharashtra,Bhandara-Gondiya,Nationalist Congress Party,Male,Graduate,"B.Com.; Educated at University of Bombay, Mumbai, Maharashtra",53,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Pralhad Venkatesh Joshi,Elected,18-May-09,In office,Karnataka,Dharwad,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at K.S. Arts College, Hubli",47,16,0,176,64%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,3.4,0.1,81,68%,
Pranab Mukherjee,Elected,18-May-09,In office,West Bengal,Jangipur,Indian National Congress,Male,Post Graduate,"M.A. (History), M.A. (Political Science), LL.B., D. Litt. (Honoris Causa); Educated at Vidyasagar College, Suri, Calcutta University, West Bengal",74,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Prasanna Kumar Patasani,Elected,18-May-09,In office,Orissa,Bhubaneswar,Biju Janata Dal,Male,Doctorate,"M.A., LL.B., MSCI, Ph.D. (Honorary), D. Litt. (Utkal), D.Sc. (Swiss); Educated at Utkal University, Bhubaneswar (Orissa), Madhusudan Law College, Cuttack (Orissa), Maharshi Institute of Creative Intelligence, Rishikesh (Uttar Pradesh), Sheelsburg (Switzer",64,23,0,86,83%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.4,108,81%,
Prasanta Kumar Majumdar,Elected,18-May-09,In office,West Bengal,Balurghat,Revolutionary Socialist Party,Male,Post Graduate,"M.A. (Economics); Educated at Guwahati University, Assam",69,52,2,168,88%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,14.4,0.5,45,77%,
Pratik Prakashbapu Patil,Elected,18-May-09,In office,Maharashtra,Sangli,Indian National Congress,Male,Diploma Course,"Intermediate, Diploma in Automobile Engineering; Educated at Padmabhushan Vasant Dada Patil Institute of Technology, Budhgaon, District Sangli",36,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Praveen Singh Aron,Elected,18-May-09,In office,Uttar Pradesh,Bareilly,Indian National Congress,Male,Graduate,"B.A., LL.B.; Educated at Rohilkhand Vishwa Vidyalay and Rohilkhand University, Bareilly, Uttar Pradesh",51,0,0,0,73%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Prem Das Rai,Elected,18-May-09,In office,Sikkim,Sikkim,Sikkim Democratic Front,Male,Graduate,"B.Tech. (Chemical) and P.G.D.M.; Educated at IIT, Kanpur and IIM Ahmedabad, Gujarat",56,21,0,12,90%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,21,0,12,90%,
Premchandra Guddu,Elected,18-May-09,In office,Madhya Pradesh,Ujjain,Indian National Congress,Male,Inter/ Higher Secondary,,49,4,0,65,68%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.2,0,49,79%,
Premdas Katheria,Elected,18-May-09,In office,Uttar Pradesh,Etawah,Samajwadi Party,Male,Graduate,"B.Ed.; Educated at Kanpur University, Kanpur",45,15,0,11,90%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Preneet Kaur,Elected,18-May-09,In office,Punjab,Patiala,Indian National Congress,Female,Graduate,"B.A., T.T.C.; Educated at St. Bedes College and Convent of Jesus and Mary College, Shimla, Himachal Pradesh",65,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Priya Sunil Dutt,Elected,18-May-09,In office,Maharashtra,Mumbai-North-Central,Indian National Congress,Female,Post Graduate,"B.A.. (Sociology) Post-Grauduate (TV Production); Educated at Sophia College, Bombay University, Mumbai (Maharashtra) and Centre for Media Arts, New York City (U.S.A.) ",43,5,0,27,67%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.7,0.3,121,74%,
Pulin Bihari Baske,Elected,18-May-09,In office,West Bengal,Jhargram,Communist Party of India (Marxist),Male,Graduate,"M.B.B.S.; Educated at Kolkata Medical College, West Bengal",42,11,0,27,98%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,14.4,0.5,45,77%,
Purnmasi Ram,Elected,18-May-09,In office,Bihar,Gopalganj,Janata Dal (United),Male,Matric,Educated at Hindi Vidyapeeth Deoghar,60,7,0,208,84%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
R. Thamaraiselvan,Elected,18-May-09,In office,Tamil Nadu,Dharmapuri,Dravida Munnetra Kazhagam,Male,Graduate,"B.Sc., B.L.; Educated at (i) Govt. Arts College, Dharmapuri and (ii) Govt. Law College, Trichy",47,11,0,105,79%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.1,76,73%,
R.K. Singh Patel,Elected,18-May-09,In office,Uttar Pradesh,Banda,Samajwadi Party,Male,Graduate,"B.A.; Educated at University of Allahabad, Uttar Pradesh",51,17,0,82,87%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Radha Mohan Singh,Elected,18-May-09,In office,Bihar,Purvi Champaran,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at M.S. College, Bihar University, Motihari, Bihar",60,25,0,205,88%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
Radhe Mohan Singh,Elected,18-May-09,In office,Uttar Pradesh,Ghazipur,Samajwadi Party,Male,Graduate,"B.A. (Hons.), History; Educated at Lalit Narayan Mithila University, Darbhanga",43,0,0,2,73%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Raghavendra Yeddyurappa,Elected,18-May-09,In office,Karnataka,Shimoga,Bharatiya Janata Party,Male,Graduate,"B.B.M.; Educated at A.T.N.C.C., Shivamogga, Karnataka",36,0,0,16,61%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,3.4,0.1,81,68%,
Raghuvansh Prasad Singh,Elected,18-May-09,In office,Bihar,Vaishali,Rashtriya Janata Dal,Male,Doctorate,"M.Sc., Ph.D. (Maths); Educated at Rajendra College, L.S. College and Bihar University, Muzaffarpur (Bihar) ",64,43,1,189,98%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
Raghuvir Singh Meena,Elected,18-May-09,In office,Rajasthan,Udaipur,Indian National Congress,Male,Graduate,"B.A.; Educated at Vardhman Mahavir Vishvavidhalaya, Rajasthan",51,2,0,16,85%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.6,0.4,50,86%,
Rahul Gandhi,Elected,18-May-09,In office,Uttar Pradesh,Amethi,Indian National Congress,Male,Post Graduate,"M.Phil. (Development Economics); Educated at Trinity College, Cambridge University (UK) .",40,0,0,0,59%,Complete attendance for this MP is not available (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Raj Babbar,Elected,10-Nov-09,In office,Uttar Pradesh,Firozabad,Indian National Congress,Male,Graduate,"Graduate in Theatre; Educated at National School of Drama, New Delhi",58,1,0,0,67%, (All data updated till 4th Aug 2010),5.6,0.2,53,79%,7.2,0.1,40,80%,
Raj Kumari Chauhan,Elected,18-May-09,In office,Uttar Pradesh,Aligarh,Bahujan Samaj Party,Female,Inter/ Higher Secondary,"Educated at Janta Inter College, Chlerat, Aligarh, U.P.",40,0,0,9,80%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Raja Ram Pal,Elected,18-May-09,In office,Uttar Pradesh,Akbarpur,Indian National Congress,Male,Graduate,"B.A., LL.B; Educated at D.A.V. College, Kanpur (Uttar Pradesh) ",49,19,0,0,93%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Rajagopal Lagadapati,Elected,18-May-09,In office,Andhra Pradesh,Vijayawada,Indian National Congress,Male,Graduate,"B. Tech. (Mechanical); Educated at Loyola Public School Guntur and Siddhartha Engineering College, Vijayawada",46,6,6,152,78%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
Rajaiah Siricilla,Elected,18-May-09,In office,Andhra Pradesh,Warangal,Indian National Congress,Male,Graduate,"B.Sc. (Agriculture); Educated at Acharya N.G. Ranga Agricultural University, Hyderabad, Andhra Pradesh",56,6,0,211,95%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
Rajan Sushant,Elected,18-May-09,In office,Himachal Pradesh,Kangra,Bharatiya Janata Party,Male,Doctorate,"GAMS, B.A., LL.B.; Dayanand Ayurvedic College Jalandhar (Punjab), H.P. University, Shimla and P.B. University, Chandigarh",55,18,0,17,98%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,23.7,0,120,91%,
Rajen Gohain,Elected,18-May-09,In office,Assam,Nawgong,Bharatiya Janata Party,Male,Graduate,"B.A., LL.B.; Educated at Anandaram Dhekial Phukan College, Nagaon and Jalukbari, Gauhati University, Guwahati (Assam) ",59,1,0,9,54%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.2,0,17,80%,
Rajendra Agrawal,Elected,18-May-09,In office,Uttar Pradesh,Meerut,Bharatiya Janata Party,Male,Post Graduate,"M.Sc. (Physics); Educated at M.M. (P.G.) College, Modi Nagar, Ghaziabad",60,16,2,76,98%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Rajendrasinh Ghanshyamsinh Rana (Raju Rana),Elected,18-May-09,In office,Gujarat,Bhavnagar,Bharatiya Janata Party,Male,Graduate,"B.Com., LL.B.; Educated at Saurashtra University, Bhavnagar (Gujarat) ",54,0,0,9,88%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.3,0,85,80%,
Rajesh Nandini Singh,Elected,18-May-09,In office,Madhya Pradesh,Shahdol,Indian National Congress,Female,Graduate,"B.Sc.; Educated from Ravi Shankar Vishwa Vidhayalaya,; Raipur, Chhattisgarh",53,0,0,0,96%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.2,0,49,79%,
Rajiv Ranjan (Lalan) Singh,Elected,18-May-09,In office,Bihar,Munger,Janata Dal (United),Male,Graduate,"B.A. (Hons.); Educated at T.N.B. College, Bhagalpur University, Bihar",55,8,0,196,95%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
Rajnath Singh,Elected,18-May-09,In office,Uttar Pradesh,Ghaziabad,Bharatiya Janata Party,Male,Post Graduate,"M.Sc. (Physics); Educated at Gorakhpur University, Uttar Pradesh",59,4,0,26,79%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Raju Shetti,Elected,18-May-09,In office,Maharashtra,Hatkanangle,Swabhimani Paksha,Male,Diploma Course,"D.M.E.; Educated at J. J. Magdum Polytechnic, Jaysingpur, Distt. Kolhapur, Maharashtra",43,9,0,77,78%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.7,0.3,121,74%,
Rakesh Pandey,Elected,18-May-09,In office,Uttar Pradesh,Ambedkar Nagar,Bahujan Samaj Party,Male,Matric,,57,4,0,2,80%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Rakesh Sachan,Elected,18-May-09,In office,Uttar Pradesh,Fatehpur,Samajwadi Party,Male,Post Graduate,"M.A. (Economics), LL.B; Educated at Kanpur University",45,9,0,15,89%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Rakesh Singh,Elected,18-May-09,In office,Madhya Pradesh,Jabalpur,Bharatiya Janata Party,Male,Graduate,"B.Sc.; Educated at Government Science College, Jabalpur",48,12,0,121,72%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.2,0,49,79%,
Ram Chandra Dome,Elected,18-May-09,In office,West Bengal,Bolpur,Communist Party of India (Marxist),Male,Graduate,"M.B.B.S.; Educated at N.R.S. Medical College and Hospital, Calcutta, West Bengal",51,26,0,11,89%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,14.4,0.5,45,77%,
Ram Singh Kaswan,Elected,18-May-09,In office,Rajasthan,Churu,Bharatiya Janata Party,Male,Graduate,"B.A., LL.B.; Educated at Doonger College, Bikaner and Rajasthan University, Jaipur, Rajasthan",64,19,0,40,94%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.6,0.4,50,86%,
Ram Sundar Das,Elected,18-May-09,In office,Bihar,Hajipur,Janata Dal (United),Male,Matric,"Educated at S.P.S., Sonpur, Distt. Saran, Bihar and Vidyasagar College, Calcutta (left College to join Freedoom Movement) ",89,0,0,38,82%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
Rama Devi,Elected,18-May-09,In office,Bihar,Sheohar,Bharatiya Janata Party,Female,Graduate,"B.A., LL.B.; S.K.J.Law College, Bihar University, Muzaffarpur and Jaintpur College, Bihar University, Vaishali",61,6,0,50,81%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
Ramachandran Mullappally,Elected,18-May-09,In office,Kerala,Vadakara,Indian National Congress,Male,Post Graduate,"M.A., LL.B.; Educated at Government College, Madappally, Kerala University and Law College, Calicut, Kerala",65,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ramakant Yadav,Elected,18-May-09,In office,Uttar Pradesh,Azamgarh,Bharatiya Janata Party,Male,Matric,"Educated at High School, Amvari, Distt. Azamgarh, Uttar Pradesh",53,0,0,0,20%,Complete attendance for this MP is not available (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Ramashankar Rajbhar,Elected,18-May-09,In office,Uttar Pradesh,Salempur,Bahujan Samaj Party,Male,Graduate,"Educated at Gorakhpur University, Gorakhpur (Uttar Pradesh) ",50,21,0,25,89%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Ramen Deka,Elected,18-May-09,In office,Assam,Mangaldoi,Bharatiya Janata Party,Male,Graduate,B.A.; Educated at Pragjyotish College under Guwahati University,56,7,0,20,86%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.2,0,17,80%,
Ramesh Bais,Elected,18-May-09,In office,Chhattisgarh,Raipur,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Educated at B.S.E., Bhopal, Madhya Pradesh",63,1,0,54,93%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,2.7,0,20,64%,
Ramesh Chandappa Jigajinagi,Elected,18-May-09,In office,Karnataka,Bijapur,Bharatiya Janata Party,Male,Post Graduate,"M.A.; Educated at S.B.New Arts College, Bijapur , Karnataka",58,0,0,6,69%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,3.4,0.1,81,68%,
Ramesh Kumar,Elected,18-May-09,In office,Delhi,South Delhi,Indian National Congress,Male,Matric,,55,0,0,0,99%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,12.8,2.8,91,97%,
Ramesh Rathod,Elected,18-May-09,In office,Andhra Pradesh,Adilabad,Telugu Desam Party,Male,Graduate,"B.A.; Educated at Govt. Degree College, Adilabad",43,6,0,175,68%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
Ramkishun,Elected,18-May-09,In office,Uttar Pradesh,Chandauli,Samajwadi Party,Male,Graduate,"B.A., B.Ed. and Post Graduate Diploma in Marketing and Finance",54,35,0,98,88%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Ramshankar,Elected,18-May-09,In office,Uttar Pradesh,Agra,Bharatiya Janata Party,Male,Doctorate,"M.A., Ph.D.; Educated at Kanpur University, Uttar Pradesh",45,5,1,66,66%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Ramsinhbhai Patalyabhai Rathwa,Elected,18-May-09,In office,Gujarat,Chhota Udaipur,Bharatiya Janata Party,Male,Post Diploma Course,"S.S.C., Diploma in Painting, Post-Diploma in Graphic, short-term training course in Museology; Educated at Kawant English School, Chhota Udaipur, Faculty of Fine Arts, M.S. University, Baroda (Gujarat) and National Museum, New Delhi",59,6,0,195,87%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.3,0,85,80%,
Ranee Narah,Elected,18-May-09,In office,Assam,Lakhimpur,Indian National Congress,Female,Graduate,"B.A.; Educated at Gauhati University, Guwahati (Assam) ",44,1,0,7,72%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.2,0,17,80%,
Ranjan Prasad Yadav,Elected,18-May-09,In office,Bihar,Pataliputra,Janata Dal (United),Male,Doctorate,"M.Sc. (Geology), Ph.D.; Educated at Science College, Patna University, Bihar",65,1,1,117,87%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.3,0.2,74,86%,
Raosaheb Patil Danve,Elected,18-May-09,In office,Maharashtra,Jalna,Bharatiya Janata Party,Male,Under Graduate,"Educated at J.E.S., Jalna, Maharashtra",55,7,0,90,68%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.7,0.3,121,74%,
Ratan Singh,Elected,18-May-09,In office,Rajasthan,Bharatpur,Indian National Congress,Male,Graduate,"B.E. (Mechanical); M.B.M. Engineering College, Jodhpur (University of Jodhpur) ",63,7,0,6,87%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.6,0.4,50,86%,
Ratanjit Pratap Narayan Singh,Elected,18-May-09,In office,Uttar Pradesh,Khushi Nagar,Indian National Congress,Male,Graduate,"B.A. (Hons.) History; Educated at St. Stephen College, University of Delhi.",46,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ratna De,Elected,18-May-09,In office,West Bengal,Hooghly,All India Trinamool Congress,Female,Post Graduate,"M.B.B.S., D.C.H.; Educated at R.G. Kar Medical College & Institute of Child Health, Calcutta University",61,16,0,14,78%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,14.4,0.5,45,77%,
Ratna Singh,Elected,18-May-09,In office,Uttar Pradesh,Pratapgarh,Indian National Congress,Female,Graduate,"B. Com.; Educated at Jesus and Mary College, University of Delhi (Delhi) ",51,7,0,106,86%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Rattan Singh Ajnala,Elected,18-May-09,In office,Punjab,Khadoor Sahib,Shiromani Akali Dal,Male,Graduate,"M.B.B.S.; Educated at Medical College, Amritsar, Punjab",66,19,0,17,94%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.1,29,78%,
Ravindra Kumar Pandey,Elected,18-May-09,In office,Jharkhand,Giridih,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at K.V. College (Ranchi University), Kathara (Bihar) ",51,26,0,242,74%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.6,0.3,78,59%,
Ravneet Singh,Elected,18-May-09,In office,Punjab,Anandpur Sahib,Indian National Congress,Male,Inter/ Higher Secondary,"Guru Nanak Public School, Sector-36, Chandigarh",34,4,0,22,76%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.1,29,78%,
Rewati Raman Singh,Elected,18-May-09,In office,Uttar Pradesh,Allahabad,Samajwadi Party,Male,Graduate,"B.A., LL.B.",66,20,0,38,93%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11.4,0.2,51,80%,
Rudramadhab Ray,Elected,18-May-09,In office,Orissa,Kandhamal,Biju Janata Dal,Male,Graduate,"B.Sc.; Educated at Ravenshaw College, Cuttack, Orissa",72,18,0,256,84%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.4,108,81%,
S. Alagiri,Elected,18-May-09,In office,Tamil Nadu,Cuddalore,Indian National Congress,Male,Graduate,"B.A.; Educated at Annamalai University, Tamil Nadu",57,6,0,102,76%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.1,76,73%,
S. Gandhiselvan,Elected,18-May-09,In office,Tamil Nadu,Namakkal,Dravida Munnetra Kazhagam,Male,Post Graduate,"M.A., M.Phil; Annamalai University",47,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
S. Jagathrakshakan,Elected,18-May-09,In office,Tamil Nadu,Arakkonam,Dravida Munnetra Kazhagam,Male,Inter/ Higher Secondary,Educated at Valudvur,62,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
S. Pakkirappa,Elected,18-May-09,In office,Karnataka,Raichur,Bharatiya Janata Party,Male,Under Matric,,51,2,0,174,73%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,3.4,0.1,81,68%,
S. R. Jeyadurai,Elected,18-May-09,In office,Tamil Nadu,Thoothukkudi,Dravida Munnetra Kazhagam,Male,Graduate,"B.Sc., PGDYN; Educated at Pope's College, Sawyerpuram, Thoothukudi",41,4,0,128,61%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.1,76,73%,
S. Semmalai,Elected,18-May-09,In office,Tamil Nadu,Salem,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,"B.Sc., B.L.; Educated at Alagappa College, Pushpam College and Madras Law College",65,24,0,144,82%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.1,76,73%,
S.P.Y. Reddy,Elected,18-May-09,In office,Andhra Pradesh,Nandyal,Indian National Congress,Male,Graduate,"B.E. (Mechanical); Educated at Reginal Engg. College, Warangal (Andhra Pradesh) ",60,2,0,0,54%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
S.S. Palanimanickam,Elected,18-May-09,In office,Tamil Nadu,Thanjavur,Dravida Munnetra Kazhagam,Male,Graduate,"B.L.; Educated at Madras Law College, Chennai (Tamil Nadu) ",59,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
S.S. Ramasubbu,Elected,18-May-09,In office,Tamil Nadu,Tirunelveli,Indian National Congress,Male,Post Graduate,"M.A. (Economics), J.C.I.I.B. (Banking); Educated at Madurai Kamaraj University and Indian Institute of Bankers",60,32,0,308,98%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.1,76,73%,
Sabbam Hari,Elected,18-May-09,In office,Andhra Pradesh,Anakapalli,Indian National Congress,Male,Graduate,B.Com.; Educated at A.V.N. College,58,0,0,0,80%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
Sachin Pilot,Elected,18-May-09,In office,Rajasthan,Ajmer,Indian National Congress,Male,Post Graduate,"B.A. (Hons), M.B.A.; Educated at St. Stephens College, University of Delhi, Delhi and Wharton Business School, University of Pennsylvania, Philadelphia, USA",32,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sadashivrao Dadoba Mandlik,Elected,18-May-09,In office,Maharashtra,Kolhapur,Independent,Male,Graduate,"B.A. (Hons.) English; Educated at University of Poona, Pune, Maharashtra",75,5,0,0,50%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.7,0.3,121,74%,
Sai Prathap Annayyagari,Elected,18-May-09,In office,Andhra Pradesh,Rajampet,Indian National Congress,Male,Under Graduate,"Educated at Gulbarga Medical College, Gulbarga, Karnataka",65,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sajjan Singh Verma,Elected,18-May-09,In office,Madhya Pradesh,Dewas,Indian National Congress,Male,Post Graduate,"M.A. (Sociology); Educated at G.A.C.C. Indore, Madhya Pradesh",56,10,0,122,82%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,7.2,0,49,79%,
Sakti Mohan Malik,Elected,18-May-09,In office,West Bengal,Arambagh,Communist Party of India (Marxist),Male,Post Graduate,"M.A., B.Ed. (Bengali and Political Science); Educated at Burdwan University, West Bengal",51,1,0,17,98%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,14.4,0.5,45,77%,
Salman Khurshid,Elected,18-May-09,In office,Uttar Pradesh,Farrukhabad,Indian National Congress,Male,Post Graduate,"B.A., M.A., B.CL.; Educated at St. Stephen`s College, Delhi and Oxford University, Oxford",57,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (All data updated till 4th Aug 2010)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sambasiva Rayapati Rao,Elected,18-May-09,In office,Andhra Pradesh,Guntur,Indian National Congress,Male,Graduate,"B.Sc.; Educated at New Science College, Hyderabad, Andhra Pradesh",67,7,0,231,67%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,5.8,0.2,104,77%,
Sameer Magan Bhujbal,Elected,18-May-09,In office,Maharashtra,Nashik,Nationalist Congress Party,Male,Matric,Educated at St. Mary`s Convent High School,36,5,0,54,76%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.7,0.3,121,74%,
Sandeep Dikshit,Elected,18-May-09,In office,Delhi,East Delhi,Indian National Congress,Male,Post Graduate,"M.A., P.G. Diploma in Rural Development; Educated at St. Stephans College, University of Delhi and Institute of Rural Management, Anand, Gujarat",45,10,0,2,95%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,12.8,2.8,91,97%,
Sanjay Bhoi,Elected,18-May-09,In office,Orissa,Bargarh,Indian National Congress,Male,Graduate,"B.A., GNIIT & Microsoft Certified Product Specialist; Educated at Delhi University",36,2,0,45,94%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,11,0.4,108,81%,
Sanjay Dina Patil,Elected,18-May-09,In office,Maharashtra,Mumbai-North-East,Nationalist Congress Party,Male,Graduate,B.Com.; Educated at Mumbai University,41,0,0,76,82%, (All data updated till 4th Aug 2010),9.1,0.2,69,79%,6.7,0.3,121,74%,
